id,section,question,expected_answer,predicted_answer,expected_evidence,retrieved_evidence,confidence,retrieval_score,answer_match,evidence_match,no_answer_match,correct,token_f1
1,Confidentiality,How long must confidential information be kept secret?,Three years after termination.,Confidentiality: The receiving party shall keep all confidential information secret for three years after termination.,for three years after termination,Confidentiality: The receiving party shall keep all confidential information secret for three years after termination.,0.6629,7.9183,1,1,0,1,0.4211
2,Confidentiality,Can confidential information be disclosed to a third party?,"No, not without prior written consent.",Only with required consent or approval. Confidentiality: The receiving party shall not disclose confidential information to any third party without prior written consent.,shall not disclose confidential information to any third party without prior written consent,Confidentiality: The receiving party shall not disclose confidential information to any third party without prior written consent.,0.6899,9.7059,0,1,0,1,0.3448
3,Termination,How much notice is required to terminate the agreement?,30 days written notice.,Termination: Either party may terminate this Agreement by giving 30 days written notice.,30 days written notice,Termination: Either party may terminate this Agreement by giving 30 days written notice.,0.6569,7.5719,1,1,0,1,0.4706
4,Termination,When can the Company terminate the agreement immediately?,If the Contractor commits a material breach.,Termination: The Company may terminate the Agreement immediately if the Contractor commits a material breach.,if the Contractor commits a material breach,Termination: The Company may terminate the Agreement immediately if the Contractor commits a material breach.,0.7246,12.8108,1,1,0,1,0.6364
5,Payment,When must the Client pay the Contractor?,Within 15 days after receiving a valid invoice.,Payment: The Client shall pay the Contractor within 15 days after receiving a valid invoice.,within 15 days after receiving a valid invoice,Payment: The Client shall pay the Contractor within 15 days after receiving a valid invoice.,0.6744,8.6293,1,1,0,1,0.6957
6,Payment,What is the interest rate for late payments?,2 percent per month.,Payment: Late payments shall accrue interest at a rate of 2 percent per month.,2 percent per month,Payment: Late payments shall accrue interest at a rate of 2 percent per month.,0.7400,14.6297,1,1,0,1,0.4444
7,Assignment,Can a party assign the agreement without consent?,"No, prior written consent is required.",Only with required consent or approval. Assignment: Neither party may assign this Agreement without the prior written consent of the other party.,without the prior written consent of the other party,Assignment: Neither party may assign this Agreement without the prior written consent of the other party.,0.7318,13.6212,0,1,0,1,0.2857
8,Liability,What types of damages are excluded from liability?,"Indirect, incidental, or consequential damages.","Liability: Neither party shall be liable for indirect, incidental, or consequential damages.","indirect, incidental, or consequential damages","Liability: Neither party shall be liable for indirect, incidental, or consequential damages.",0.6356,6.4817,1,1,0,1,0.5882
9,Governing Law,Which law governs the agreement?,The laws of the Republic of Kazakhstan.,Governing Law: This Agreement shall be governed by the laws of the Republic of Kazakhstan.,laws of the Republic of Kazakhstan,Governing Law: This Agreement shall be governed by the laws of the Republic of Kazakhstan.,0.7002,10.5156,1,1,0,1,0.6364
10,Dispute Resolution,How should disputes first be resolved?,Through good-faith negotiations between the parties.,Dispute Resolution: Any dispute shall first be resolved through good-faith negotiations between the parties.,good-faith negotiations between the parties,Dispute Resolution: Any dispute shall first be resolved through good-faith negotiations between the parties.,0.7145,11.7876,1,1,0,1,0.6000
