section,total,correct,errors,accuracy
Assignment,2,2,0,1.0000
Audit,1,1,0,1.0000
Breach Notification,1,1,0,1.0000
Compensation,1,1,0,1.0000
Confidentiality,7,7,0,1.0000
Data Backup,2,2,0,1.0000
Data Protection,3,3,0,1.0000
Dispute Resolution,2,2,0,1.0000
Expenses,1,1,0,1.0000
Fees,1,1,0,1.0000
Force Majeure,1,1,0,1.0000
Governing Law,4,4,0,1.0000
Intellectual Property,2,2,0,1.0000
Lease Term,2,2,0,1.0000
Liability,4,4,0,1.0000
Milestones,1,1,0,1.0000
No-Answer,17,17,0,1.0000
Non-Compete,1,1,0,1.0000
Non-Solicitation,1,1,0,1.0000
Payment,4,4,0,1.0000
Rent,1,1,0,1.0000
Repairs,1,1,0,1.0000
Retention,1,1,0,1.0000
Scope of Work,1,1,0,1.0000
Security Deposit,1,1,0,1.0000
Service Levels,2,2,0,1.0000
Subprocessors,1,1,0,1.0000
Support,1,1,0,1.0000
Termination,5,5,0,1.0000
Termination Assistance,1,1,0,1.0000
Use Restrictions,1,1,0,1.0000
Working Hours,1,1,0,1.0000
